metric	value	unit
cell_area	7928.415	um2
wns	-1.043500	ns
tns	-52.449500	ns
fmax	165.467031	MHz
total_power	0.739729000	mW
dynamic_power	0.739537000	mW
leakage_power	0.000191589	mW
