design	status	cell_area_um2	seq_cells	comb_cells	wns_ns	fmax_mhz	total_power_mw	dynamic_power_mw	leakage_power_mw	critical_startpoint	critical_endpoint	latch_cells	unresolved	error_fatal_lines
prefix-k4	PASS	5826.569	104	3089	0.000000	200.000000	0.550772000	0.550634000	0.000137200	(R) dut/lane_valid_reg[1]/CK	(F) dut/rotation_base_reg[1]/D	0	0	0
replicated-k4	PASS	7928.415	104	4407	-1.043500	165.467031	0.739729000	0.739537000	0.000191589	(R) dut/lane_source_reg[3][2]/CK	(R) dut/lane_event_reg[3][14]/D	0	0	0
