candidate,test,seed,load_pct,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
a4-quadtree-verilator,uniform,2001,13,251,251,0,0,3,3,3,2,2,2,251,0,0,0,16,16,0,235,373,526,758,64,31936,0,19379,0.606807365,16,1,1,1,1,12988,431,0.033184478
a4-quadtree-verilator,uniform,2002,13,261,261,0,0,3,3,3,2,2,2,261,0,0,0,16,16,0,245,344,495,770,64,31936,0,19298,0.604271042,16,1,1,1,1,13079,441,0.0337181742
a4-quadtree-verilator,uniform,2003,13,231,231,0,0,3,3,3,2,2,2,231,0,0,0,16,16,0,215,380,570,1099,64,31936,0,20027,0.627097946,16,1,1,1,1,12355,446,0.0360987454
a4-quadtree-verilator,uniform,2001,50,982,982,0,0,3,3,3,2,2,2,982,0,0,0,16,16,0,966,96,139,294,64,31936,0,4647,0.14550977,16,1,1,1,1,27685,396,0.0143037746
a4-quadtree-verilator,uniform,2002,50,1038,1038,0,0,3,3,3,2,2,2,1038,0,0,0,16,16,0,1022,92,156,241,64,31936,0,4377,0.137055361,16,1,1,1,1,27952,393,0.0140598168
a4-quadtree-verilator,uniform,2003,50,1032,1032,0,0,3,3,3,2,2,2,1032,0,0,0,16,16,0,1016,90,163,255,64,31952,0,4371,0.136798948,16,1,1,1,1,27913,332,0.0118940995
a4-quadtree-verilator,uniform,2001,90,1868,1868,0,0,3,3,3,2,2,2,1868,0,0,0,16,16,0,1852,53,85,139,64,31952,0,1086,0.0339884827,16,1,1,1,1,31021,155,0.0049966152
a4-quadtree-verilator,uniform,2002,90,1851,1851,0,0,3,3,3,2,2,2,1851,0,0,0,16,16,0,1835,50,78,119,64,31952,0,720,0.0225338007,16,1,1,1,1,31349,117,0.00373217646
a4-quadtree-verilator,uniform,2003,90,1837,1837,0,0,3,3,3,2,2,2,1837,0,0,0,16,16,0,1821,52,80,130,64,31952,0,789,0.0246932899,16,1,1,1,1,31287,124,0.00396330744
a4-quadtree-verilator,uniform,2001,100,2048,2048,0,0,3,3,3,2,2,2,2048,0,0,0,16,16,0,2032,48,70,109,64,31952,0,570,0.0178392589,16,1,1,1,1,31462,80,0.00254274998
a4-quadtree-verilator,uniform,2002,100,2048,2048,0,0,3,3,3,2,2,2,2048,0,0,0,16,16,0,2032,45,67,160,64,31952,0,444,0.0138958438,16,1,1,1,1,31580,72,0.002279924
a4-quadtree-verilator,uniform,2003,100,2048,2048,0,0,3,3,3,2,2,2,2048,0,0,0,16,16,0,2032,47,68,106,64,31952,0,473,0.0148034552,16,1,1,1,1,31559,80,0.00253493457
a4-quadtree-verilator,uniform,2001,125,2536,2052,484,0,8,16,19,5,5,5,2536,484,0,0.190851735,16,16,0,2036,40,65,96,64,32016,0,211,0.00659045477,16,0.998233335,0.998233335,0.747252747,0.747252747,31911,106,0.00332173859
a4-quadtree-verilator,uniform,2002,125,2574,2052,522,0,8,16,19,5,5,5,2574,522,0,0.202797203,16,16,0,2036,39,57,105,64,32016,0,178,0.00555972014,16,0.99809386,0.99809386,0.74251497,0.74251497,31908,70,0.0021938072
a4-quadtree-verilator,uniform,2003,125,2550,2054,496,0,8,16,19,5,5,5,2550,496,0,0.194509804,16,16,0,2038,39,59,94,64,32048,0,181,0.00564777833,16,0.998029969,0.998029969,0.734104046,0.734104046,31944,77,0.00241046832
a4-quadtree-verilator,uniform,2001,150,3039,2056,983,0,11,19,21,5,5,5,3039,983,0,0.323461665,16,16,0,2040,35,51,86,64,32080,0,59,0.00183915212,16,0.998076702,0.998076702,0.62244898,0.62244898,32049,28,0.000873662205
a4-quadtree-verilator,uniform,2002,150,3094,2057,1037,0,11,19,21,5,5,5,3094,1037,0,0.335164835,16,16,0,2041,34,50,85,64,32096,0,57,0.00177592223,16,0.996731535,0.996731535,0.613445378,0.613445378,32066,27,0.000842013347
a4-quadtree-verilator,uniform,2003,150,3045,2054,991,0,11,19,21,5,5,5,3045,991,0,0.32545156,16,16,0,2038,34,54,91,64,32048,0,57,0.00177858213,16,0.998600841,0.998600841,0.616580311,0.616580311,32028,37,0.00115523917
a4-quadtree-verilator,uniform,2001,200,4096,2060,2036,0,14,21,21,5,5,5,4096,2036,0,0.497070312,16,16,0,2044,28,40,60,64,32144,1,0,0,16,0.997853681,0.997853681,0.462093863,0.462093863,32144,0,0
a4-quadtree-verilator,uniform,2002,200,4096,2058,2038,0,14,21,21,5,5,5,4096,2038,0,0.497558594,16,16,0,2042,28,40,84,64,32112,0,20,0.00062282013,16,0.997073375,0.997073375,0.462633452,0.462633452,32103,11,0.000342647105
a4-quadtree-verilator,uniform,2003,200,4096,2059,2037,0,14,21,21,5,5,5,4096,2037,0,0.497314453,16,16,0,2043,28,40,72,64,32128,0,16,0.000498007968,16,0.998549559,0.998549559,0.46350365,0.46350365,32128,16,0.000498007968
