candidate,test,load_pct,runs,seed_count,stim_cycles,generated,source_overrun,accepted,delivered,errors,delivery_ratio,acceptance_ratio,overrun_ratio,end_to_end_ratio,avg_total_cycles,avg_throughput,worst_throughput,throughput_stddev,measurement_delivered,measurement_cycles,window_completion_ratio,avg_e2e_latency,worst_e2e_latency,avg_internal_latency,worst_internal_latency,avg_request_wait,worst_request_wait,avg_timing_error,worst_timing_error,avg_fairness,worst_fairness,performance_state,knee_load_pct,tail_latency_factor,tail_wait_factor,tail_timing_error_factor,tail_degraded,correctness_issues,event_metrics_state,event_runs,event_seed_count,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
flat-rr-verilator,retrigger_identity,25,1,1,2048,512,0,512,512,0,1,1,0,1,2058,0.25,0.25,0,512,2048,1,2,2,1,1,0,0,0,0,0.898246,0.898246,PASS,,,,,False,,COMPLETE,1,1,512,512,0,0,2,2,2,1,1,1,512,0,0,0,16,16,0,496,282,642,957,64,31936,0,24069,0.753663577,16,1,1,1,1,8071,204,0.0252756784
flat-rr-verilator,rotating_victim_affine,103,1,1,4096,4217,212,4005,4005,0,1,1,0.0502727057,0.949727294,4107,0.977295,0.977295,0,4003,4096,0.948830021,2.933333,9,1,1,7,7,1.063675,7,0.998159,0.998159,SATURATED,103,,,,False,,COMPLETE,1,1,4217,4005,212,0,3,5,7,1,1,1,4217,212,0,0.0502727057,16,16,0,3989,46,73,173,64,64720,0,1409,0.0217707046,16,0.999844567,0.999844567,0.931558935,0.931558935,63481,170,0.00267796664
flat-rr-verilator,rotating_victim_identity,103,1,1,4096,4217,215,4002,4002,0,1,1,0.0509841119,0.949015888,4108,0.976318,0.976318,0,3999,4096,0.947881902,2.988256,12,1,1,10,10,1.110637,7,0.998424,0.998424,SATURATED,103,,,,False,,COMPLETE,1,1,4217,4002,215,0,3,5,7,1,1,1,4217,215,0,0.0509841119,16,16,0,3986,47,73,173,64,64736,0,1418,0.02190435,16,0.999800377,0.999800377,0.928315412,0.928315412,63503,185,0.00291324819
flat-rr-verilator,shape_b1,50,1,1,4096,2048,0,2048,2048,0,1,1,0,1,4106,0.5,0.5,0,2048,4096,1,2,2,1,1,0,0,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,2048,2048,0,0,2,2,2,1,1,1,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
flat-rr-verilator,shape_b16,50,1,1,4096,2048,0,2048,2048,0,1,1,0,1,4106,0.5,0.5,0,2048,4096,1,9.5,17,1,1,15,15,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,2048,2048,0,0,9,17,17,1,1,1,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
flat-rr-verilator,shape_b4,50,1,1,4096,2048,0,2048,2048,0,1,1,0,1,4106,0.5,0.5,0,2048,4096,1,3.5,5,1,1,3,3,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,2048,2048,0,0,3,5,5,1,1,1,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
flat-rr-verilator,spatial_dispersed,75,1,1,2048,1536,0,1536,1536,0,1,1,0,1,2058,0.75,0.75,0,1536,2048,1,3.5,5,1,1,3,3,0,0,0.25,0.25,PASS,,,,,False,,COMPLETE,1,1,1536,1536,0,0,3,5,5,1,1,1,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
flat-rr-verilator,spatial_local,75,1,1,2048,1536,0,1536,1536,0,1,1,0,1,2058,0.75,0.75,0,1536,2048,1,3.5,5,1,1,3,3,0,0,0.25,0.25,PASS,,,,,False,,COMPLETE,1,1,1536,1536,0,0,3,5,5,1,1,1,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
flat-rr-verilator,spatial_local_mirror,75,1,1,2048,1536,0,1536,1536,0,1,1,0,1,2058,0.75,0.75,0,1536,2048,1,3.5,5,1,1,3,3,0,0,0.25,0.25,PASS,,,,,False,,COMPLETE,1,1,1536,1536,0,0,3,5,5,1,1,1,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
flat-rr-verilator,timing_pair,63,2,2,4096,2538,17,2521,2521,0,1,1,0.00669818755,0.993301812,2058,0.615234,0.611816,0.003418,2520,4096,0.9765625,2.21658056,6,1,1,4,4,0.368017428,4,0.989593,0.988541,PASS,,,,,False,,COMPLETE,2,2,2538,2521,17,0,2,3,4,1,1,1,2538,17,0,0.00669818755,32,32,0,2489,74,112,170,64,63872,0,4672,0.0731462926,32,0.999899877,0.999899877,0.957142857,0.957142857,59603,403,0.00676140463
flat-rr-verilator,uniform,13,3,3,6144,743,0,743,743,0,1,1,0,1,2058,0.120931,0.112793,0.00608981467,743,6144,0.930238381,2,2,1,1,0,0,0,0,0.947373,0.92818,SATURATED,13,,,,False,,COMPLETE,3,3,743,743,0,0,2,2,2,1,1,1,743,0,0,0,48,48,0,695,359,526,1099,64,95808,0,58708,0.612767201,48,1,1,1,1,37981,881,0.0231958084
flat-rr-verilator,uniform,50,3,3,6144,3052,0,3052,3052,0,1,1,0,1,2058,0.496582,0.479492,0.0121647512,3051,6144,0.993164062,2,2,1,1,0,0,0,0,0.979364667,0.975068,SATURATED,13,,,,False,,COMPLETE,3,3,3052,3052,0,0,2,2,2,1,1,1,3052,0,0,0,48,48,0,3004,94,158,294,64,95808,0,13396,0.139821309,48,1,1,1,1,83169,757,0.00910194904
flat-rr-verilator,uniform,90,3,3,6144,5556,0,5556,5556,0,1,1,0,1,2058,0.903808333,0.896484,0.00618929422,5553,6144,1.00423177,2,2,1,1,0,0,0,0,0.990508,0.988143,SATURATED,13,,,,False,,COMPLETE,3,3,5556,5556,0,0,2,2,2,1,1,1,5556,0,0,0,48,48,0,5508,51,81,139,64,95808,0,2593,0.0270645458,48,1,1,1,1,93487,272,0.00290949544
flat-rr-verilator,uniform,100,3,3,6144,6144,0,6144,6144,0,1,1,0,1,2058,0.999512,0.999512,0,6141,6144,0.999511719,2,2,1,1,0,0,0,0,0.993174667,0.989768,SATURATED,13,,,,False,,COMPLETE,3,3,6144,6144,0,0,2,2,2,1,1,1,6144,0,0,0,48,48,0,6096,46,69,160,64,95808,0,1485,0.0154997495,48,1,1,1,1,94484,161,0.00170399221
flat-rr-verilator,uniform,125,3,3,6144,7660,1508,6152,6152,0,1,1,0.196866841,0.803133159,2060.66667,0.999512,0.999512,0,6141,6144,0.799609375,5.15734716,14,1,1,11.6666667,12,2.5566842,11,0.994380333,0.990452,SATURATED,13,,,,False,,COMPLETE,3,3,7660,6152,1508,0,5,10,11,1,1,1,7660,1508,0,0.196866841,48,48,0,6104,41,61,103,64,95936,0,526,0.00548282188,48,0.998861777,0.998861777,0.75625,0.75625,95579,169,0.00176817083
flat-rr-verilator,uniform,150,3,3,6144,9178,3017,6161,6161,0,1,1,0.328720854,0.671279146,2063.66667,0.999512,0.999512,0,6141,6144,0.666341146,7.11816267,16,1,1,14,14,3.39391482,14,0.996825667,0.99664,SATURATED,13,,,,False,,COMPLETE,3,3,9178,6161,3017,0,7,12,14,1,1,1,9178,3017,0,0.328720854,48,48,0,6113,36,52,94,64,96080,0,226,0.00235220649,48,0.998202094,0.998202094,0.609243697,0.609243697,95952,98,0.00102134401
flat-rr-verilator,uniform,200,3,3,6144,12288,6120,6168,6168,0,1,1,0.498046875,0.501953125,2066,0.999512,0.999512,0,6141,6144,0.499755859,9.96708842,17,1,1,15,15,4.1789215,15,0.998876,0.998804,SATURATED,13,,,,False,,COMPLETE,3,3,12288,6168,6120,0,11,15,16,1,1,1,12288,6120,0,0.498046875,48,48,0,6120,28,41,84,64,96192,0,46,0.000478210246,48,0.998271254,0.998271254,0.46975089,0.46975089,96172,26,0.000270348958
