candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
mock-flat-rr-model,phase_transition_s3501,phase_transition,phase_transition,3501,0.769,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,3139,1017,2122,2122,0,0.51806640625,13,15,16,15,0.9979449712990733,0.6108597285067874,0
a4-quadtree-model,phase_transition_s3502,phase_transition,phase_transition,3502,0.769,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,3167,1013,2154,2154,0,0.52587890625,19,20,20,15,0.9973576706338904,0.6157407407407407,0
mock-flat-rr-model,phase_transition_s3502,phase_transition,phase_transition,3502,0.769,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,3167,1016,2151,2151,0,0.525146484375,13,15,16,15,0.9984044012915885,0.6157407407407407,0
a4-quadtree-model,retrigger_affine,retrigger_affine,retrigger,3801,0.25,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,512,0,512,512,0,0.25,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,retrigger_affine,retrigger_affine,retrigger,3801,0.25,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,512,0,512,512,0,0.25,1,1,1,0,1.0,1.0,0
a4-quadtree-model,retrigger_identity,retrigger_identity,retrigger,3801,0.25,0d381e1a6e3da84cbd146c231870879346f63996ebf95d138a8481b4a071d6b4,512,0,512,512,0,0.25,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,retrigger_identity,retrigger_identity,retrigger,3801,0.25,0d381e1a6e3da84cbd146c231870879346f63996ebf95d138a8481b4a071d6b4,512,0,512,512,0,0.25,1,1,1,0,1.0,1.0,0
a4-quadtree-model,rotating_victim_affine,rotating_victim_affine,rotating_victim,3401,1.025,36466f8c889421a738c8b97b38968b587abbbef1b7a6db003b88fcc6aca6e277,4217,149,4068,4068,0,0.991943359375,8,11,17,12,0.9998424613252815,0.9431818181818182,5
mock-flat-rr-model,rotating_victim_affine,rotating_victim_affine,rotating_victim,3401,1.025,36466f8c889421a738c8b97b38968b587abbbef1b7a6db003b88fcc6aca6e277,4217,212,4005,4005,0,0.977294921875,4,6,8,7,0.9998445669713116,0.9315589353612167,2
a4-quadtree-model,rotating_victim_identity,rotating_victim_identity,rotating_victim,3401,1.025,3711822e5250bcf2917cedf6569e5f47f8a2af7d33fb467b744958d7941339e8,4217,150,4067,4067,0,0.991943359375,8,11,16,13,0.9998295904260663,0.9390681003584229,4
mock-flat-rr-model,rotating_victim_identity,rotating_victim_identity,rotating_victim,3401,1.025,3711822e5250bcf2917cedf6569e5f47f8a2af7d33fb467b744958d7941339e8,4217,215,4002,4002,0,0.976318359375,4,6,11,10,0.9998003773400841,0.9283154121863799,3
a4-quadtree-model,shape_b1,shape_b1,rate_shape,3101,0.5,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,2048,0,2048,2048,0,0.499755859375,2,2,2,0,1.0,1.0,1
mock-flat-rr-model,shape_b1,shape_b1,rate_shape,3101,0.5,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,2048,0,2048,2048,0,0.5,1,1,1,0,1.0,1.0,0
a4-quadtree-model,shape_b16,shape_b16,rate_shape,3101,0.5,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,2048,0,2048,2048,0,0.5,17,17,17,12,1.0,1.0,0
mock-flat-rr-model,shape_b16,shape_b16,rate_shape,3101,0.5,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,2048,0,2048,2048,0,0.5,16,16,16,15,1.0,1.0,0
a4-quadtree-model,shape_b4,shape_b4,rate_shape,3101,0.5,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,2048,0,2048,2048,0,0.5,5,5,5,2,1.0,1.0,0
mock-flat-rr-model,shape_b4,shape_b4,rate_shape,3101,0.5,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,2048,0,2048,2048,0,0.5,4,4,4,3,1.0,1.0,0
