name,workload,seed,load,trace_sha256,a4_source_overrun,flat_source_overrun,delta_source_overrun,a4_measurement_event_per_cycle,flat_measurement_event_per_cycle,delta_measurement_event_per_cycle,a4_p95_e2e_latency,flat_p95_e2e_latency,delta_p95_e2e_latency,a4_p99_e2e_latency,flat_p99_e2e_latency,delta_p99_e2e_latency,a4_max_request_wait,flat_max_request_wait,delta_max_request_wait,a4_demand_normalized_fairness,flat_demand_normalized_fairness,delta_demand_normalized_fairness,a4_min_source_service_ratio,flat_min_source_service_ratio,delta_min_source_service_ratio
uniform_l1p50_s2002,uniform,2002,1.5,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,1037,1040,-3.0,0.999023,0.999512,-0.0004889999999999617,19,13,6.0,21,14,7.0,15,14,1.0,0.9967315345030175,0.9972587299442857,-0.0005271954412681135,0.6134453781512605,0.6092436974789915,0.004201680672269004
uniform_l1p50_s2003,uniform,2003,1.5,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,991,993,-2.0,0.999023,0.999512,-0.0004889999999999617,19,13,6.0,21,14,7.0,15,14,1.0,0.9986008409246997,0.9989562701519044,-0.0003554292272046622,0.616580310880829,0.6358695652173914,-0.019289254336562367
uniform_l2p00_s2001,uniform,2001,2.0,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,2036,2038,-2.0,0.999023,0.999512,-0.0004889999999999617,21,15,6.0,21,16,5.0,15,15,0.0,0.9978536807870994,0.9984175807967023,-0.0005639000096029356,0.4620938628158845,0.47017543859649125,-0.008081575780606753
uniform_l2p00_s2002,uniform,2002,2.0,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,2038,2041,-3.0,0.999023,0.999512,-0.0004889999999999617,21,15,6.0,21,16,5.0,15,15,0.0,0.997073374993612,0.9973383674785223,-0.00026499248491029803,0.4626334519572954,0.4697508896797153,-0.007117437722419906
uniform_l2p00_s2003,uniform,2003,2.0,ef15eb066fb4ee69eebae96d495e20f73def720bb5da5428d5480f603189d75d,2037,2041,-4.0,0.999023,0.999512,-0.0004889999999999617,21,15,6.0,21,16,5.0,15,15,0.0,0.9985495591080215,0.9990662912764672,-0.0005167321684457216,0.4635036496350365,0.47653429602888087,-0.01303064639384438
shape_b1,rate_shape,3101,0.5,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,0,0,0.0,0.499756,0.5,-0.00024400000000002198,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
shape_b4,rate_shape,3101,0.5,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,0,0,0.0,0.5,0.5,0.0,6,5,1.0,6,5,1.0,2,3,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
shape_b16,rate_shape,3101,0.5,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,0,0,0.0,0.5,0.5,0.0,18,17,1.0,18,17,1.0,12,15,-3.0,1.0,1.0,0.0,1.0,1.0,0.0
spatial_local,matched_spatial,3201,0.75,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,0,0,0.0,0.75,0.75,0.0,6,5,1.0,6,5,1.0,0,3,-3.0,1.0,1.0,0.0,1.0,1.0,0.0
spatial_dispersed,matched_spatial,3201,0.75,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,0,0,0.0,0.75,0.75,0.0,6,5,1.0,6,5,1.0,2,3,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
