name,sources,padded_ports,empty_ports,padding_fraction,tree_levels,merge_nodes,state_bits,workload,mapping,trace_sha256,generated,accepted,overrun,event_p99_latency,pair_p99_latency,generated_pairs,complete_pairs,pair_completion_ratio,max_request_wait,drain_cycles,level0_link_util_mean,level0_link_util_max,level1_link_util_mean,level1_link_util_max,level2_link_util_mean,level2_link_util_max,mapping_wire_span_max,mapping_wire_span_mean,mapping_wire_span_total,tree_edge_span_max,estimated_wire_span_max,merge_fanout_max
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_10,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,7,1598,458,0.28660826032540676,4,1,0.24694973157637873,0.4055636896046852,0.9877989263055149,0.9877989263055149,0.0,0.0,6,2.375,38,2,6,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_11,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,6,1598,453,0.2834793491864831,3,1,0.24694973157637873,0.41044411908247924,0.9877989263055149,0.9877989263055149,0.0,0.0,5,2.125,34,2,5,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_12,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2013,1183,6,6,1598,446,0.27909887359199,3,0,0.2457275390625,0.32080078125,0.98291015625,0.98291015625,0.0,0.0,4,2.75,44,2,4,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_13,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,7,1598,467,0.29224030037546933,4,1,0.2469497315763787,0.3304050756466569,0.9877989263055149,0.9877989263055149,0.0,0.0,6,2.625,42,2,6,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_14,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,6,1598,458,0.28660826032540676,3,1,0.24694973157637873,0.4021473889702294,0.9877989263055149,0.9877989263055149,0.0,0.0,4,2.125,34,2,4,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_15,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,6,1598,466,0.29161451814768463,4,1,0.24694973157637873,0.39726695949243535,0.9877989263055149,0.9877989263055149,0.0,0.0,5,2.0,32,2,5,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_16,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,1991,1205,5,7,1598,424,0.26533166458072593,4,0,0.2430419921875,0.4716796875,0.97216796875,0.97216796875,0.0,0.0,5,2.875,46,2,5,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_17,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,7,1598,455,0.28473091364205255,4,1,0.24694973157637873,0.4851146900927282,0.9877989263055149,0.9877989263055149,0.0,0.0,3,2.0,32,2,3,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_18,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,7,1598,471,0.29474342928660824,4,1,0.24694973157637873,0.3294289897510981,0.9877989263055149,0.9877989263055149,0.0,0.0,5,2.875,46,2,5,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_19,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,7,7,1598,462,0.28911138923654567,4,1,0.24694973157637873,0.4031234748657882,0.9877989263055149,0.9877989263055149,0.0,0.0,5,2.625,42,2,5,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_20,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2004,1192,5,7,1598,442,0.2765957446808511,4,1,0.2445095168374817,0.4773060029282577,0.9780380673499268,0.9780380673499268,0.0,0.0,5,2.75,44,2,5,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_21,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,7,1598,454,0.28410513141426785,4,1,0.24694973157637873,0.48365056124938993,0.9877989263055149,0.9877989263055149,0.0,0.0,6,2.625,42,2,6,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,shuffle_22,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,7,7,1598,462,0.28911138923654567,4,1,0.24694973157637873,0.40165934602244996,0.9877989263055149,0.9877989263055149,0.0,0.0,6,2.875,46,2,6,4
