candidate,test,seed,load_pct,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
flat-rr-verilator,core_simultaneous_identity,1002,6,16,16,0,0,9,17,17,1,1,1,16,0,0,0,16,16,0,0,,,,64,3264,0,2240,0.68627451,16,1,1,1,1,1176,152,0.129251701
flat-rr-verilator,core_sparse_identity,1001,3,16,16,0,0,2,2,2,1,1,1,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,997,28,0.0280842528
flat-rr-verilator,core_sparse_rotate180,1001,3,16,16,0,0,2,2,2,1,1,1,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,997,28,0.0280842528
flat-rr-verilator,elephant_mouse_affine,3601,90,1827,1827,0,0,2,2,2,1,1,1,1827,0,0,0,16,16,0,1811,109,242,443,64,31936,0,13765,0.431018287,16,1,1,1,1,18496,325,0.0175713668
flat-rr-verilator,elephant_mouse_identity,3601,90,1827,1827,0,0,2,2,2,1,1,1,1827,0,0,0,16,16,0,1811,109,242,443,64,31936,0,13765,0.431018287,16,1,1,1,1,18496,325,0.0175713668
flat-rr-verilator,global_fanin_identity,3701,25,512,512,0,0,9,17,17,1,1,1,512,0,0,0,16,16,0,496,64,64,64,64,31936,0,36,0.00112725451,16,1,1,1,1,31900,0,0
flat-rr-verilator,moving_hotspot_multi_column,3301,90,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,87,149,375,64,31936,0,7123,0.22303983,16,1,1,1,1,25087,274,0.0109219915
flat-rr-verilator,moving_hotspot_multi_disperse,3301,90,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,85,160,394,64,31936,0,7546,0.23628507,16,1,1,1,1,24670,280,0.0113498176
flat-rr-verilator,moving_hotspot_multi_row,3301,90,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,87,175,461,64,31936,0,8021,0.251158567,16,1,1,1,1,24190,275,0.011368334
flat-rr-verilator,moving_hotspot_single,3301,90,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,106,225,454,64,31936,0,12655,0.396261273,16,1,1,1,1,19627,346,0.0176287767
flat-rr-verilator,moving_hotspot_single,3302,90,1827,1827,0,0,2,2,2,1,1,1,1827,0,0,0,16,16,0,1811,105,232,468,64,31936,0,13541,0.424004259,16,1,1,1,1,18726,331,0.0176759586
flat-rr-verilator,phase_transition,3501,77,3139,2122,1017,0,2,14,16,1,1,1,3139,1017,0,0.323988531,16,16,0,2106,72,218,723,64,64704,0,23366,0.361121414,16,0.997944971,0.997944971,0.610859729,0.610859729,41593,255,0.00613083932
flat-rr-verilator,phase_transition,3502,77,3167,2151,1016,0,2,14,16,1,1,1,3167,1016,0,0.320808336,16,16,0,2135,75,239,442,64,64704,0,22470,0.347273739,16,0.998404401,0.998404401,0.615740741,0.615740741,42507,273,0.00642247159
flat-rr-verilator,retrigger_affine,3801,25,512,512,0,0,2,2,2,1,1,1,512,0,0,0,16,16,0,496,282,642,957,64,31936,0,24069,0.753663577,16,1,1,1,1,8071,204,0.0252756784
flat-rr-verilator,retrigger_identity,3801,25,512,512,0,0,2,2,2,1,1,1,512,0,0,0,16,16,0,496,282,642,957,64,31936,0,24069,0.753663577,16,1,1,1,1,8071,204,0.0252756784
flat-rr-verilator,rotating_victim_affine,3401,103,4217,4005,212,0,3,5,7,1,1,1,4217,212,0,0.0502727057,16,16,0,3989,46,73,173,64,64720,0,1409,0.0217707046,16,0.999844567,0.999844567,0.931558935,0.931558935,63481,170,0.00267796664
flat-rr-verilator,rotating_victim_identity,3401,103,4217,4002,215,0,3,5,7,1,1,1,4217,215,0,0.0509841119,16,16,0,3986,47,73,173,64,64736,0,1418,0.02190435,16,0.999800377,0.999800377,0.928315412,0.928315412,63503,185,0.00291324819
flat-rr-verilator,shape_b1,3101,50,2048,2048,0,0,2,2,2,1,1,1,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
flat-rr-verilator,shape_b16,3101,50,2048,2048,0,0,9,17,17,1,1,1,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
flat-rr-verilator,shape_b4,3101,50,2048,2048,0,0,3,5,5,1,1,1,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
flat-rr-verilator,spatial_dispersed,3201,75,1536,1536,0,0,3,5,5,1,1,1,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
flat-rr-verilator,spatial_local,3201,75,1536,1536,0,0,3,5,5,1,1,1,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
flat-rr-verilator,spatial_local_mirror,3201,75,1536,1536,0,0,3,5,5,1,1,1,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
flat-rr-verilator,timing_pair,3901,63,1259,1253,6,0,2,3,4,1,1,1,1259,6,0,0.00476568705,16,16,0,1237,74,112,170,64,31936,0,2382,0.0745866733,16,0.999881169,0.999881169,0.957142857,0.957142857,29752,198,0.00665501479
