candidate,test,load_pct,runs,seed_count,stim_cycles,generated,source_overrun,accepted,delivered,errors,delivery_ratio,acceptance_ratio,overrun_ratio,end_to_end_ratio,avg_total_cycles,avg_throughput,worst_throughput,throughput_stddev,measurement_delivered,measurement_cycles,window_completion_ratio,avg_e2e_latency,worst_e2e_latency,avg_internal_latency,worst_internal_latency,avg_request_wait,worst_request_wait,avg_timing_error,worst_timing_error,avg_fairness,worst_fairness,performance_state,knee_load_pct,tail_latency_factor,tail_wait_factor,tail_timing_error_factor,tail_degraded,correctness_issues,event_metrics_state,event_runs,event_seed_count,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
a4-quadtree-verilator,retrigger_identity,25,1,1,2048,512,0,512,512,0,1,1,0,1,2058,0.25,0.25,0,512,2048,1,3,3,2,2,0,0,0,0,0.898246,0.898246,PASS,,,,,False,,COMPLETE,1,1,512,512,0,0,3,3,3,2,2,2,512,0,0,0,16,16,0,496,282,642,957,64,31936,0,24066,0.753569639,16,1,1,1,1,8177,307,0.0375443317
a4-quadtree-verilator,rotating_victim_affine,103,1,1,4096,4217,149,4068,4068,0,1,1,0.0353331752,0.964666825,4110,0.991943,0.991943,0,4063,4096,0.963051805,4.876352,18,3.136922,5,12,12,1.622655,13,0.997711,0.997711,SATURATED,103,,,,False,,COMPLETE,1,1,4217,4068,149,0,4,9,12,3,5,5,4217,149,0,0.0353331752,16,16,0,4052,46,72,173,64,64768,0,1382,0.0213376976,16,0.999842461,0.999842461,0.943181818,0.943181818,63642,256,0.00402250086
a4-quadtree-verilator,rotating_victim_identity,103,1,1,4096,4217,150,4067,4067,0,1,1,0.0355703106,0.964429689,4109,0.991943,0.991943,0,4063,4096,0.963051805,4.769609,17,3.06688,5,13,13,1.651938,14,0.998206,0.998206,SATURATED,103,,,,False,,COMPLETE,1,1,4217,4067,150,0,4,9,12,3,5,5,4217,150,0,0.0355703106,16,16,0,4051,46,72,172,64,64752,0,1383,0.0213584136,16,0.99982959,0.99982959,0.9390681,0.9390681,63621,252,0.00396095629
a4-quadtree-verilator,shape_b1,50,1,1,4096,2048,0,2048,2048,0,1,1,0,1,4106,0.499756,0.499756,0,2047,4096,0.999511719,3,3,2,2,0,0,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,2048,2048,0,0,3,3,3,2,2,2,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
a4-quadtree-verilator,shape_b16,50,1,1,4096,2048,0,2048,2048,0,1,1,0,1,4106,0.5,0.5,0,2048,4096,1,10.5,18,4.625,5,12,12,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,2048,2048,0,0,10,18,18,5,5,5,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
a4-quadtree-verilator,shape_b4,50,1,1,4096,2048,0,2048,2048,0,1,1,0,1,4106,0.5,0.5,0,2048,4096,1,4.5,6,2.75,3,2,2,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,2048,2048,0,0,4,6,6,3,3,3,2048,0,0,0,16,16,0,2032,32,32,32,64,64704,1,0,0,16,1,1,1,1,64704,0,0
a4-quadtree-verilator,spatial_dispersed,75,1,1,2048,1536,0,1536,1536,0,1,1,0,1,2058,0.75,0.75,0,1536,2048,1,4.5,6,2.75,3,2,2,0,0,0.25,0.25,PASS,,,,,False,,COMPLETE,1,1,1536,1536,0,0,4,6,6,3,3,3,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
a4-quadtree-verilator,spatial_local,75,1,1,2048,1536,0,1536,1536,0,1,1,0,1,2058,0.75,0.75,0,1536,2048,1,4.5,6,3.5,5,0,0,0,0,0.25,0.25,PASS,,,,,False,,COMPLETE,1,1,1536,1536,0,0,4,6,6,3,5,5,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
a4-quadtree-verilator,spatial_local_mirror,75,1,1,2048,1536,0,1536,1536,0,1,1,0,1,2058,0.75,0.75,0,1536,2048,1,4.5,6,3.5,5,0,0,0,0,0.25,0.25,PASS,,,,,False,,COMPLETE,1,1,1536,1536,0,0,4,6,6,3,5,5,1536,0,0,0,4,4,0,1532,6,6,6,64,7984,10,0,0,4,1,1,1,1,7984,0,0
a4-quadtree-verilator,timing_pair,63,2,2,4096,2538,4,2534,2534,0,1,1,0.00157604413,0.998423956,2058.5,0.6181645,0.61377,0.0043945,2532,4096,0.981212798,3.23086029,8,2.1724546,5,4,5,0.380092302,5,0.9900665,0.989102,PASS,,,,,False,,COMPLETE,2,2,2538,2534,4,0,3,4,6,2,3,4,2538,4,0,0.00157604413,32,32,0,2502,74,111,170,64,63888,0,4656,0.0728775357,32,0.999979067,0.999979067,0.979591837,0.979591837,59794,562,0.00939893635
a4-quadtree-verilator,uniform,13,3,3,6144,743,0,743,743,0,1,1,0,1,2058,0.120931,0.112793,0.00608981467,743,6144,0.930238381,3,3,2,2,0,0,0,0,0.947373,0.92818,SATURATED,13,,,,False,,COMPLETE,3,3,743,743,0,0,3,3,3,2,2,2,743,0,0,0,48,48,0,695,359,526,1099,64,95808,0,58704,0.612725451,48,1,1,1,1,38422,1318,0.0343032638
a4-quadtree-verilator,uniform,50,3,3,6144,3052,0,3052,3052,0,1,1,0,1,2058.33333,0.496419333,0.479492,0.0120290533,3050,6144,0.992838542,3,3,2,2,0,0,0,0,0.979364667,0.975068,SATURATED,13,,,,False,,COMPLETE,3,3,3052,3052,0,0,3,3,3,2,2,2,3052,0,0,0,48,48,0,3004,94,158,294,64,95824,0,13395,0.139787527,48,1,1,1,1,83550,1121,0.0134171155
a4-quadtree-verilator,uniform,90,3,3,6144,5556,0,5556,5556,0,1,1,0,1,2059,0.903320333,0.895996,0.00618929422,5550,6144,1.00368924,3,3,2,2,0,0,0,0,0.990508,0.988143,SATURATED,13,,,,False,,COMPLETE,3,3,5556,5556,0,0,3,3,3,2,2,2,5556,0,0,0,48,48,0,5508,51,81,139,64,95856,0,2595,0.0270718578,48,1,1,1,1,93657,396,0.00422819437
a4-quadtree-verilator,uniform,100,3,3,6144,6144,0,6144,6144,0,1,1,0,1,2059,0.999023,0.999023,0,6138,6144,0.999023438,3,3,2,2,0,0,0,0,0.993174667,0.989768,SATURATED,13,,,,False,,COMPLETE,3,3,6144,6144,0,0,3,3,3,2,2,2,6144,0,0,0,48,48,0,6096,46,69,160,64,95856,0,1487,0.0155128526,48,1,1,1,1,94601,232,0.00245240537
a4-quadtree-verilator,uniform,125,3,3,6144,7660,1502,6158,6158,0,1,1,0.196083551,0.803916449,2063.66667,0.999023,0.999023,0,6138,6144,0.79921875,8.46752174,21,4.34800251,5,15,15,3.70360066,17,0.995504333,0.993153,SATURATED,13,,,,False,,COMPLETE,3,3,7660,6158,1502,0,8,16,19,5,5,5,7660,1502,0,0.196083551,48,48,0,6110,39,60,105,64,96080,0,570,0.0059325562,48,0.998080082,0.998080082,0.734104046,0.734104046,95763,253,0.00264193895
a4-quadtree-verilator,uniform,150,3,3,6144,9178,3011,6167,6167,0,1,1,0.328067117,0.671932883,2066.66667,0.999023,0.999023,0,6138,6144,0.666015625,11.0131347,21,4.78320092,5,15,15,4.66350682,18,0.996750667,0.995783,SATURATED,13,,,,False,,COMPLETE,3,3,9178,6167,3011,0,11,19,21,5,5,5,9178,3011,0,0.328067117,48,48,0,6119,34,52,91,64,96224,0,173,0.00179788826,48,0.997763945,0.997763945,0.613445378,0.613445378,96143,92,0.000956907939
a4-quadtree-verilator,uniform,200,3,3,6144,12288,6111,6177,6177,0,1,1,0.497314453,0.502685547,2070,0.999023,0.999023,0,6138,6144,0.499511719,13.9234254,21,4.96146973,5,15,15,4.88742081,17,0.999032,0.998912,SATURATED,13,,,,False,,COMPLETE,3,3,12288,6177,6111,0,14,21,21,5,5,5,12288,6111,0,0.497314453,48,48,0,6129,28,40,84,64,96384,0,36,0.000373505976,48,0.997823872,0.997823872,0.462093863,0.462093863,96375,27,0.000280155642
