suite,trace,trace_sha256,k,model,b,d,seed,generated,accepted,delivered,source_overrun,fixed_window_delivered,average_latency,p95_latency,p99_latency,max_latency,drain_cycle
full50,phase_transition_s3501,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,2,flat_k_grant,0,0,0,3139,3139,3139,0,3139,2.0,2,2,2,3581
full50,phase_transition_s3501,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,2,ecrf,2,2,0,3139,3139,3139,0,3139,2.0,2,2,2,3581
full50,phase_transition_s3502,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,2,flat_k_grant,0,0,0,3167,3167,3167,0,3167,2.0,2,2,2,3572
full50,phase_transition_s3502,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,2,ecrf,2,2,0,3167,3167,3167,0,3167,2.0,2,2,2,3572
full50,retrigger_affine,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,2,flat_k_grant,0,0,0,512,512,512,0,512,2.0,2,2,2,1924
full50,retrigger_affine,182e985be382ec997671a9f5b5a0532f4ed8138a22dbc826e8035ef1e2a99fa7,2,ecrf,2,2,0,512,512,512,0,512,2.0,2,2,2,1924
full50,retrigger_identity,0d381e1a6e3da84cbd146c231870879346f63996ebf95d138a8481b4a071d6b4,2,flat_k_grant,0,0,0,512,512,512,0,512,2.0,2,2,2,1924
full50,retrigger_identity,0d381e1a6e3da84cbd146c231870879346f63996ebf95d138a8481b4a071d6b4,2,ecrf,2,2,0,512,512,512,0,512,2.0,2,2,2,1924
full50,rotating_victim_affine,36466f8c889421a738c8b97b38968b587abbbef1b7a6db003b88fcc6aca6e277,2,flat_k_grant,0,0,0,4217,4217,4217,0,4216,2.0,2,2,2,4096
full50,rotating_victim_affine,36466f8c889421a738c8b97b38968b587abbbef1b7a6db003b88fcc6aca6e277,2,ecrf,2,2,0,4217,4217,4217,0,4216,2.0,2,2,2,4096
full50,rotating_victim_identity,3711822e5250bcf2917cedf6569e5f47f8a2af7d33fb467b744958d7941339e8,2,flat_k_grant,0,0,0,4217,4217,4217,0,4216,2.0,2,2,2,4096
full50,rotating_victim_identity,3711822e5250bcf2917cedf6569e5f47f8a2af7d33fb467b744958d7941339e8,2,ecrf,2,2,0,4217,4217,4217,0,4216,2.0,2,2,2,4096
full50,shape_b1,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,2,flat_k_grant,0,0,0,2048,2048,2048,0,2048,2.0,2,2,2,4095
full50,shape_b1,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,2,ecrf,2,2,0,2048,2048,2048,0,2048,2.0,2,2,2,4095
full50,shape_b16,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,2,flat_k_grant,0,0,0,2048,2048,2048,0,2048,5.5,9,9,9,4072
full50,shape_b16,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,2,ecrf,2,2,0,2048,2048,2048,0,2048,5.5,9,9,9,4072
full50,shape_b4,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,2,flat_k_grant,0,0,0,2048,2048,2048,0,2048,2.5,3,3,3,4090
full50,shape_b4,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,2,ecrf,2,2,0,2048,2048,2048,0,2048,2.5,3,3,3,4090
full50,spatial_dispersed,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,2,flat_k_grant,0,0,0,1536,1536,1536,0,1536,2.5,3,3,3,2044
