name,workload,events,zero_order_entropy,transition_entropy,repeat_fraction,mean_run_length,max_run_length,run_length_entropy,block_size,blocks,compressed_blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits,bits_per_event,compression_ratio,saved_bits,mode_header_lower_bound_bits,inband_header_bits_per_event
moving_hotspot_multi_column_s3301,moving_hotspot,1821,3.994644556991695,3.4641402721046775,0.1493684788577705,1.1755971594577146,6,0.7121752723486181,16,114,2,112,0,2,0.9824561403508771,7270,3.9923119165293794,1.0019257221458047,14,114,0.06260296540362438
moving_hotspot_multi_column_s3301,moving_hotspot,1821,3.994644556991695,3.4641402721046775,0.1493684788577705,1.1755971594577146,6,0.7121752723486181,32,57,0,57,0,0,1.0,7284,4.0,1.0,0,57,0.03130148270181219
moving_hotspot_multi_disperse_s3301,moving_hotspot,1821,3.9953611160008475,3.4388542472568497,0.1504667764964306,1.1771170006464124,6,0.7165397167094056,4,456,8,448,8,0,0.9824561403508771,7256,3.984623833058759,1.003858875413451,28,456,0.2504118616144975
moving_hotspot_multi_disperse_s3301,moving_hotspot,1821,3.9953611160008475,3.4388542472568497,0.1504667764964306,1.1771170006464124,6,0.7165397167094056,8,228,2,226,2,0,0.9912280701754386,7266,3.9901153212520595,1.0024772914946325,18,228,0.12520593080724876
moving_hotspot_multi_disperse_s3301,moving_hotspot,1821,3.9953611160008475,3.4388542472568497,0.1504667764964306,1.1771170006464124,6,0.7165397167094056,16,114,2,112,0,2,0.9824561403508771,7270,3.9923119165293794,1.0019257221458047,14,114,0.06260296540362438
moving_hotspot_multi_disperse_s3301,moving_hotspot,1821,3.9953611160008475,3.4388542472568497,0.1504667764964306,1.1771170006464124,6,0.7165397167094056,32,57,0,57,0,0,1.0,7284,4.0,1.0,0,57,0.03130148270181219
moving_hotspot_multi_row_s3301,moving_hotspot,1821,3.9974151744436583,3.431545055917768,0.15101592531576058,1.1778783958602845,6,0.7185723518805881,4,456,21,435,21,0,0.9539473684210527,7209,3.958813838550247,1.0104036620890553,75,456,0.2504118616144975
moving_hotspot_multi_row_s3301,moving_hotspot,1821,3.9974151744436583,3.431545055917768,0.15101592531576058,1.1778783958602845,6,0.7185723518805881,8,228,11,217,10,1,0.9517543859649122,7235,3.973091707852828,1.006772633033863,49,228,0.12520593080724876
moving_hotspot_multi_row_s3301,moving_hotspot,1821,3.9974151744436583,3.431545055917768,0.15101592531576058,1.1778783958602845,6,0.7185723518805881,16,114,3,111,1,2,0.9736842105263158,7259,3.986271279516749,1.00344400055104,25,114,0.06260296540362438
moving_hotspot_multi_row_s3301,moving_hotspot,1821,3.9974151744436583,3.431545055917768,0.15101592531576058,1.1778783958602845,6,0.7185723518805881,32,57,1,56,1,0,0.9824561403508771,7281,3.9983525535420097,1.0004120313143798,3,57,0.03130148270181219
moving_hotspot_single_s3301,moving_hotspot,1821,3.998692336903301,2.4105848655774795,0.6084568918176826,2.5539971949509117,20,2.1533290338363926,4,456,215,241,215,0,0.5285087719298246,6063,3.329489291598023,1.2013854527461654,1221,456,0.2504118616144975
moving_hotspot_single_s3301,moving_hotspot,1821,3.998692336903301,2.4105848655774795,0.6084568918176826,2.5539971949509117,20,2.1533290338363926,8,228,143,85,127,16,0.37280701754385964,5887,3.232839099395936,1.2373025310005097,1397,228,0.12520593080724876
moving_hotspot_single_s3301,moving_hotspot,1821,3.998692336903301,2.4105848655774795,0.6084568918176826,2.5539971949509117,20,2.1533290338363926,16,114,84,30,73,11,0.2631578947368421,5904,3.242174629324547,1.233739837398374,1380,114,0.06260296540362438
moving_hotspot_single_s3301,moving_hotspot,1821,3.998692336903301,2.4105848655774795,0.6084568918176826,2.5539971949509117,20,2.1533290338363926,32,57,49,8,49,0,0.14035087719298245,5897,3.2383305875892368,1.2352043411904359,1387,57,0.03130148270181219
moving_hotspot_single_s3302,moving_hotspot,1827,3.997545188055239,2.2967659027226626,0.6305418719211823,2.7066666666666666,34,2.261840098276159,4,457,236,221,236,0,0.48358862144420134,5992,3.2796934865900385,1.219626168224299,1316,457,0.2501368363437329
