name,workload,kind,block_size,link_width,pins,charged_storage_bits,offered,accepted,overrun,delivered,blocks,raw_blocks,link_bits,link_cycles,bits_per_event,events_per_pin_cycle,average_latency,max_latency,drain_cycle
core_sparse_identity,basic_sparse,codec,16,4,8,266,16,16,0,16,16,16,64,32,4.0,0.0625,18.0,18,512
core_sparse_identity,basic_sparse,raw,32,1,3,522,16,16,0,16,1,1,64,65,4.0,0.08205128205128205,329.0,547,592
core_sparse_identity,basic_sparse,codec,32,1,3,522,16,16,0,16,1,0,57,58,3.5625,0.09195402298850575,322.0,540,585
core_sparse_identity,basic_sparse,raw,32,2,5,522,16,16,0,16,1,1,64,33,4.0,0.09696969696969697,297.0,515,560
core_sparse_identity,basic_sparse,codec,32,2,5,522,16,16,0,16,1,0,57,30,3.5625,0.10666666666666667,294.0,512,557
core_sparse_identity,basic_sparse,raw,32,4,8,522,16,16,0,16,1,1,64,17,4.0,0.11764705882352941,281.0,499,544
core_sparse_identity,basic_sparse,codec,32,4,8,522,16,16,0,16,1,0,57,16,3.5625,0.125,280.0,498,543
core_sparse_rotate180,basic_sparse,raw,4,1,3,74,16,16,0,16,16,16,64,80,4.0,0.06666666666666667,9.0,9,512
core_sparse_rotate180,basic_sparse,codec,4,1,3,74,16,16,0,16,16,16,64,80,4.0,0.06666666666666667,9.0,9,512
core_sparse_rotate180,basic_sparse,raw,4,2,5,74,16,16,0,16,16,16,64,48,4.0,0.06666666666666667,7.0,7,512
core_sparse_rotate180,basic_sparse,codec,4,2,5,74,16,16,0,16,16,16,64,48,4.0,0.06666666666666667,7.0,7,512
core_sparse_rotate180,basic_sparse,raw,4,4,8,74,16,16,0,16,16,16,64,32,4.0,0.0625,6.0,6,512
core_sparse_rotate180,basic_sparse,codec,4,4,8,74,16,16,0,16,16,16,64,32,4.0,0.0625,6.0,6,512
core_sparse_rotate180,basic_sparse,raw,8,1,3,138,16,16,0,16,16,16,64,80,4.0,0.06666666666666667,13.0,13,512
core_sparse_rotate180,basic_sparse,codec,8,1,3,138,16,16,0,16,16,16,64,80,4.0,0.06666666666666667,13.0,13,512
core_sparse_rotate180,basic_sparse,raw,8,2,5,138,16,16,0,16,16,16,64,48,4.0,0.06666666666666667,11.0,11,512
core_sparse_rotate180,basic_sparse,codec,8,2,5,138,16,16,0,16,16,16,64,48,4.0,0.06666666666666667,11.0,11,512
core_sparse_rotate180,basic_sparse,raw,8,4,8,138,16,16,0,16,16,16,64,32,4.0,0.0625,10.0,10,512
core_sparse_rotate180,basic_sparse,codec,8,4,8,138,16,16,0,16,16,16,64,32,4.0,0.0625,10.0,10,512
core_sparse_rotate180,basic_sparse,raw,16,1,3,266,16,16,0,16,16,16,64,80,4.0,0.06666666666666667,21.0,21,512
core_sparse_rotate180,basic_sparse,codec,16,1,3,266,16,16,0,16,16,16,64,80,4.0,0.06666666666666667,21.0,21,512
core_sparse_rotate180,basic_sparse,raw,16,2,5,266,16,16,0,16,16,16,64,48,4.0,0.06666666666666667,19.0,19,512
core_sparse_rotate180,basic_sparse,codec,16,2,5,266,16,16,0,16,16,16,64,48,4.0,0.06666666666666667,19.0,19,512
core_sparse_rotate180,basic_sparse,raw,16,4,8,266,16,16,0,16,16,16,64,32,4.0,0.0625,18.0,18,512
core_sparse_rotate180,basic_sparse,codec,16,4,8,266,16,16,0,16,16,16,64,32,4.0,0.0625,18.0,18,512
core_sparse_rotate180,basic_sparse,raw,32,1,3,522,16,16,0,16,1,1,64,65,4.0,0.08205128205128205,329.0,547,592
core_sparse_rotate180,basic_sparse,codec,32,1,3,522,16,16,0,16,1,0,57,58,3.5625,0.09195402298850575,322.0,540,585
core_sparse_rotate180,basic_sparse,raw,32,2,5,522,16,16,0,16,1,1,64,33,4.0,0.09696969696969697,297.0,515,560
core_sparse_rotate180,basic_sparse,codec,32,2,5,522,16,16,0,16,1,0,57,30,3.5625,0.10666666666666667,294.0,512,557
core_sparse_rotate180,basic_sparse,raw,32,4,8,522,16,16,0,16,1,1,64,17,4.0,0.11764705882352941,281.0,499,544
core_sparse_rotate180,basic_sparse,codec,32,4,8,522,16,16,0,16,1,0,57,16,3.5625,0.125,280.0,498,543
elephant_mouse_affine,elephant_mouse,raw,4,1,3,74,1827,489,1338,489,123,123,1956,2079,4.0,0.0784030784030784,44.61349693251534,81,2082
elephant_mouse_affine,elephant_mouse,codec,4,1,3,74,1827,495,1332,495,124,119,1953,2077,3.9454545454545453,0.07944150216658642,43.173737373737374,81,2082
elephant_mouse_affine,elephant_mouse,raw,4,2,5,74,1827,914,913,914,229,229,3656,2057,4.0,0.08886728245017016,20.283369803063458,33,2061
elephant_mouse_affine,elephant_mouse,codec,4,2,5,74,1827,974,853,974,244,184,3572,2060,3.6673511293634498,0.0945631067961165,18.745379876796715,28,2064
elephant_mouse_affine,elephant_mouse,raw,4,4,8,74,1827,1634,193,1634,409,409,6536,2043,4.0,0.09997552618697993,9.95593635250918,13,2057
